id,http_code_old,IPA
r_sicili:a67595f8-c2b3-4f30-85fa-3fa1855a08d3,200,r_sicili
r_sicili:c23eb608-81a3-48df-8b71-fff8bcf90532,200,r_sicili
p_en:9f04517b-f753-4f5b-8289-55e9d4a8e3b9,500,p_en
p_en:734c7ad8-346e-4214-b7f6-c714fa5146c9,500,p_en
r_sicili:11b3976d-3a4b-420d-8be4-f566641fa5a7,200,r_sicili
r_sicili:fd68376e-6368-401e-8a39-47a5bc1987c7,204,r_sicili
r_sicili:76ac0faf-f14c-4ee9-b84a-b38b5d1564d9,200,r_sicili
r_sicili:bdcf07c5-351c-4f86-8cc4-803fa53a6617,200,r_sicili
r_sicili:ae16cbc2-3bf8-4534-a19f-490800b08798,200,r_sicili
r_sicili:da28e16d-2ada-4779-aab1-ca85cb1373ec,200,r_sicili
r_sicili:9633d035-9e05-47cd-8bcb-bd5a4b0aebfa,200,r_sicili
r_sicili:cb4058f3-14ab-4745-89ff-6acb8964be88,200,r_sicili
p_en:94316c1b-0051-4b03-8f61-8d20f208abdb,400,p_en
r_sicili:1505c46b-bb2b-4f08-b84f-a13f5007cdc8,200,r_sicili
r_sicili:bc9f20da-08ad-446f-9ac8-4ea550b60b7e,000,r_sicili
r_sicili:a55fd047-d977-4bae-b2f2-f9338e894980,000,r_sicili
r_sicili:fbe17d7c-9ec4-44dc-a936-fa331026a49e,000,r_sicili
r_sicili:0ecbe47b-1063-4ddc-93d3-1f4503d9f912,000,r_sicili
r_sicili:4b60faad-c139-441f-ba63-282e5a2d3e2d,000,r_sicili
r_sicili:3a93ce8a-164d-418a-a481-8a5f3286bf31,200,r_sicili
r_sicili:796cf574-2b41-48c1-b822-7d77ed31d13e,000,r_sicili
r_sicili:c333cb73-34fd-4122-a4e2-15e8fc2e9c18,200,r_sicili
p_en:448acf16-7518-4d80-bba2-ee2828dd29a3,000,p_en
r_sicili:6cb6b12a-bfcc-4230-b256-74d6f0d360c8,200,r_sicili
