id,http_code_old,IPA,http_code_latest
r_sicili:bc9f20da-08ad-446f-9ac8-4ea550b60b7e,404,r_sicili,000
r_sicili:4b60faad-c139-441f-ba63-282e5a2d3e2d,404,r_sicili,000
r_sicili:fbe17d7c-9ec4-44dc-a936-fa331026a49e,404,r_sicili,000
r_sicili:0ecbe47b-1063-4ddc-93d3-1f4503d9f912,404,r_sicili,000
r_sicili:796cf574-2b41-48c1-b822-7d77ed31d13e,404,r_sicili,000
r_sicili:8e4fa92b-02d8-4e0d-a171-9d6213faab04,404,r_sicili,000
r_sicili:2d32c073-ae0f-45f1-ba81-76624d8acdc6,404,r_sicili,000
r_sicili:b400e763-1032-480a-ba5f-4d3f31f0a6f6,404,r_sicili,000
r_sicili:eb7d584f-6c3f-4575-ad44-5370080992cf,404,r_sicili,000
r_sicili:adfc0897-e841-45ee-923d-601c359f96bf,404,r_sicili,000
r_sicili:981a882a-5e0a-4d28-9bdf-57bf849ac71a,404,r_sicili,000
r_sicili:01f287d4-c2c8-4220-9777-bd0bc0841cdc,404,r_sicili,000
r_sicili:3f368c4c-a98c-4da1-ad73-26b75e48c3a5,404,r_sicili,000
r_sicili:10ed7619-3ca7-42ea-930e-d2a6e765072e,500,r_sicili,000
r_sicili:dce99550-1c65-4d9e-a2e7-4ba133d41ba7,404,r_sicili,000
r_sicili:047b68c7-9490-4193-b2b6-36928d039240,404,r_sicili,000
r_sicili:5ca80bef-05dd-4c71-a475-258ccae6fc54,404,r_sicili,000
r_sicili:1e338e90-5250-4cd2-9875-536bcbef04af,404,r_sicili,000
r_sicili:024e581a-ce64-4b60-b95f-0612146b3173,404,r_sicili,000
r_sicili:a530bf4e-cf8c-494a-8537-ad52b23526c1,404,r_sicili,000
r_sicili:eff12713-4094-4fa8-961b-ae73dfb0353a,404,r_sicili,000
r_sicili:9fe58f4e-2c43-4ee1-94d1-a3c875e847fd,404,r_sicili,000
r_sicili:8e8947bf-97cb-4ffa-840c-d7c6cc4bb325,404,r_sicili,000
r_sicili:06d626a3-b087-4763-a01b-e59c7f31f7b2,404,r_sicili,000
r_sicili:81cef8f2-4e92-4c6d-9e7e-6e846f1a1595,404,r_sicili,000
r_sicili:2a5ff979-744a-40ac-bd4e-155b110c31b5,404,r_sicili,000
r_sicili:90fe1ac3-8980-4231-9c31-574764e750ae,404,r_sicili,000
r_sicili:b49d3ac5-b913-4fdb-b606-e77be030f5ec,404,r_sicili,000
r_sicili:85191054-0e0a-4424-b446-f0def4c67b6e,404,r_sicili,000
r_sicili:a4e60bc4-ceb7-4530-8260-6ef1baff98c2,404,r_sicili,000
r_sicili:e2b5c571-eb7b-4446-a382-10a053e002df,404,r_sicili,000
r_sicili:ed147862-9b7b-42ba-a01b-4bb4af473f78,404,r_sicili,000
r_sicili:fcb54a98-2379-4341-8ca5-a329c8f4ed90,404,r_sicili,000
